Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,72.949997,73.080002,72.650002,72.779999,71.452507,810100
2021-06-08,72.489998,72.779999,72.269997,72.610001,71.285614,1381200
2021-06-09,72.750000,72.750000,71.970001,72.099998,70.784912,1014300
2021-06-10,72.519997,72.599998,71.980003,71.989998,70.676918,972500
2021-06-11,71.989998,72.180000,71.529999,71.779999,70.470749,1287300
2021-06-14,71.760002,71.849998,71.339996,71.589996,70.284210,2085100
2021-06-15,71.529999,71.970001,71.459999,71.800003,70.490387,1264000
2021-06-16,71.690002,72.010002,71.459999,71.660004,70.352951,1808700
2021-06-17,71.669998,72.000000,70.459999,70.919998,69.626434,3631600
2021-06-18,70.180000,70.349998,69.779999,70.010002,68.733040,3677900
2021-06-21,70.550003,71.029999,70.260002,70.910004,69.616623,1523300
2021-06-22,70.919998,70.919998,70.139999,70.820000,69.528259,2015200
2021-06-23,70.970001,70.970001,70.489998,70.669998,69.380997,1485100
2021-06-24,71.010002,71.129997,70.510002,70.699997,69.410446,1174100
2021-06-25,71.000000,71.389999,70.860001,71.300003,69.999512,1040800
2021-06-28,71.180000,71.180000,70.230003,70.389999,69.106102,2542500
2021-06-29,70.540001,70.720001,70.070000,70.139999,68.860664,1526900
2021-06-30,70.000000,70.440002,69.830002,70.050003,68.772316,1292800
2021-07-01,70.410004,70.870003,70.169998,70.760002,69.469360,599000
2021-07-02,70.570000,70.800003,70.279999,70.589996,69.302452,937300
2021-07-06,70.669998,70.720001,69.599998,69.959999,68.683945,3774300
2021-07-07,69.989998,70.080002,69.339996,69.620003,68.350151,4123800
2021-07-08,68.269997,68.290001,66.610001,66.839996,66.222969,5160200
2021-07-09,67.699997,68.209999,67.230003,68.059998,67.431702,2257000
2021-07-12,67.660004,68.370003,67.309998,68.339996,67.709122,1320100
2021-07-13,68.150002,68.260002,67.349998,67.639999,67.015587,1409500
2021-07-14,68.110001,68.410004,67.489998,67.690002,67.065125,1149400
2021-07-15,67.120003,67.629997,66.959999,67.190002,66.569740,1286500
2021-07-16,67.330002,67.459999,66.580002,66.629997,66.014908,1002800
2021-07-19,65.410004,65.550003,63.820000,64.150002,63.557804,3468700
2021-07-20,64.089996,65.120003,63.680000,64.930000,64.330605,1569500
2021-07-21,65.500000,66.129997,65.330002,65.919998,65.311462,1193100
2021-07-22,65.949997,65.970001,65.220001,65.559998,64.954781,1063800
2021-07-23,66.010002,66.190002,65.709999,65.809998,65.202477,1157700
2021-07-26,65.769997,66.150002,65.500000,65.889999,65.281738,1537000
2021-07-27,65.480003,66.320000,65.290001,66.010002,65.400635,1731500
2021-07-28,66.209999,66.599998,65.629997,66.440002,65.826668,2409800
2021-07-29,67.000000,67.690002,66.959999,67.180000,66.559830,1478800
2021-07-30,67.110001,67.220001,65.970001,66.449997,65.836571,1791900
2021-08-02,66.839996,67.629997,65.910004,65.980003,65.370911,1006400
2021-08-03,66.410004,66.870003,65.989998,66.730003,66.113991,1110300
2021-08-04,66.349998,67.040001,66.290001,66.410004,65.796944,957100
2021-08-05,66.809998,67.260002,66.809998,67.019997,66.401306,998700
2021-08-06,67.180000,67.540001,67.180000,67.500000,66.876877,1448800
2021-08-09,67.559998,67.610001,67.239998,67.250000,66.629189,968600
2021-08-10,67.349998,68.500000,67.260002,68.440002,67.808205,1492800
2021-08-11,68.750000,69.320000,68.669998,69.209999,68.571091,1182100
2021-08-12,69.209999,69.260002,68.690002,69.059998,68.422470,807500
2021-08-13,69.150002,69.300003,68.730003,68.800003,68.164879,645600
2021-08-16,68.440002,68.660004,67.959999,68.650002,68.016266,882700
2021-08-17,68.260002,68.370003,67.620003,68.059998,67.431702,1543200
2021-08-18,67.959999,68.139999,67.650002,67.669998,67.045303,1214000
2021-08-19,66.809998,67.120003,66.209999,66.720001,66.104080,2011400
2021-08-20,66.519997,67.199997,66.220001,67.169998,66.549919,932800
2021-08-23,67.779999,68.239998,67.650002,68.190002,67.560509,960500
2021-08-24,68.209999,68.410004,67.959999,68.089996,67.461426,1426700
2021-08-25,68.110001,68.550003,67.839996,68.099998,67.471336,2634600
2021-08-26,68.120003,68.139999,66.050003,66.110001,65.499710,2071200
2021-08-27,65.980003,66.379997,65.449997,66.070000,65.460075,1685900
2021-08-30,66.190002,66.379997,65.620003,65.650002,65.043961,1422300
2021-08-31,65.519997,66.199997,64.930000,64.940002,64.340515,1649300
2021-09-01,65.169998,65.989998,64.970001,65.070000,64.469307,2010500
2021-09-02,65.199997,65.830002,64.760002,65.769997,65.162842,1298200
